"adec","mdec","depdec","lieudecr","sexe","anais","depnais","activ","indnat","depdom","tudom","tucom","etamat"
2017,12,01,AUT,1,1968,99,2,2,99,9,,2
2017,05,01,HMR,2,1940,99,1,2,99,9,,4
2017,12,01,AUT,2,1928,99,1,1,99,9,,3
2017,12,01,AUT,1,1945,99,1,2,99,9,,4
2017,07,01,AUT,1,1959,99,3,2,99,9,,1
2017,01,01,AUT,1,1949,99,1,2,99,9,,1
2017,06,01,AUT,1,1958,99,3,2,99,9,,2
2017,07,01,AUT,1,1971,99,2,2,99,9,,2
2017,02,01,HMR,2,1927,99,1,2,99,9,,3
2017,07,01,AUT,2,1951,99,1,2,99,9,,2
2017,05,01,LOG,1,1921,99,1,2,99,9,,2
2017,09,01,AUT,1,1958,99,2,2,99,9,,4
2017,01,01,EHC,1,1955,99,3,2,99,9,,2
2017,10,01,EHC,2,1937,99,1,1,99,9,,3
2017,02,02,AUT,2,1947,99,1,2,99,9,,2
2017,01,02,AUT,1,1951,99,2,2,99,9,,2
2017,05,02,AUT,1,1949,99,1,2,99,9,,2
2017,03,02,EHC,2,1920,99,1,2,99,9,,2
2017,05,02,EHC,2,1933,02,1,1,99,9,,1
2017,06,02,EHC,1,1923,99,1,2,99,9,,3
2017,06,02,EHC,1,1937,99,1,2,99,9,,4
2017,08,03,AUT,1,1980,99,2,2,99,9,,1
2017,11,03,AUT,1,1960,99,3,2,99,9,,2
2017,05,03,LOG,1,1955,99,1,1,99,9,,2
2017,09,03,EHC,1,1951,03,1,1,99,9,,4
2017,11,03,EHC,1,1964,99,3,2,99,9,,1
2017,06,04,AUT,2,1940,99,1,1,99,9,,2
2017,04,04,LOG,2,1944,75,1,1,99,9,,2
2017,07,04,EHC,1,1929,99,1,2,99,9,,2
2017,06,04,AUT,1,1985,99,3,2,99,9,,1
2017,10,04,AUT,1,1958,99,3,2,99,9,,2
2017,06,04,AUT,1,1993,99,2,2,99,9,,2
2017,07,04,AUT,1,1962,99,3,2,99,9,,2
2017,08,04,AUT,1,1951,99,3,2,99,9,,2
2017,10,04,AUT,1,1970,99,2,2,99,9,,1
2017,03,04,AUT,1,1961,99,3,2,99,9,,2
2017,09,04,AUT,1,1994,99,2,2,99,9,,1
2017,04,04,AUT,1,1984,99,3,2,99,9,,1
2017,07,05,AUT,1,1965,99,3,2,99,9,,1
2017,02,05,AUT,1,1937,99,1,1,99,9,,2
2017,03,05,EHC,2,1932,99,1,2,99,9,,2
2017,09,05,EHC,1,1939,99,1,2,99,9,,4
2017,02,05,EHC,2,1947,99,1,2,99,9,,2
2017,12,05,EHC,1,1981,99,3,2,99,9,,2
2017,02,05,AUT,1,1975,99,3,2,99,9,,1
2017,02,05,AUT,1,1977,99,2,2,99,9,,2
2017,09,05,AUT,1,1955,99,1,2,99,9,,4
2017,04,05,AUT,1,1957,99,1,2,99,9,,1
2017,07,05,AUT,1,1948,99,1,1,99,9,,2
2017,04,06,LOG,1,1954,99,2,2,99,9,,2
