sexe,anais,mnais,depnais,jrecp,mrecp,arecp,jrecm,mrecm,arecm,jrecc,mrecc,arecc,agemere,agexactm,indlnm,situatmr,indnatm,depdom,tudom,tucom,agepere,agexactp,indlnp,situatpr,indnatp,amar,dmarnais,accouchr,nbenf,durecevp,originom
2,2017,01,01,00,00,0000,00,00,0000,00,00,0000,34,33,4,S,2,99,9,,41,40,4,S,2,2014,1,ES,1,02,1
1,2017,03,01,00,00,0000,00,00,0000,14,02,2017,35,34,4,S,2,99,9,,45,44,1,S,1,0000,,ES,1,,1
2,2017,12,02,00,00,0000,00,00,0000,00,00,0000,34,34,4,S,2,99,9,,33,33,4,S,2,2011,2,ES,1,02,1
2,2017,09,02,00,00,0000,00,00,0000,00,00,0000,33,33,4,S,2,99,9,,33,32,4,S,2,2014,1,ES,1,03,1
1,2017,05,03,00,00,0000,00,00,0000,00,00,0000,29,29,1,,1,99,9,,29,29,1,NS,1,2009,1,ES,1,05,1
1,2017,01,05,00,00,0000,00,00,0000,05,01,2017,26,25,4,S,2,99,9,,27,26,4,S,2,0000,,ES,1,,1
1,2017,02,05,15,02,2017,14,02,2017,00,00,0000,37,36,4,S,2,99,9,,46,46,4,NS,2,0000,,ES,1,04,1
2,2017,02,05,28,02,2017,27,02,2017,00,00,0000,26,25,1,S,2,99,9,,35,34,4,NS,2,0000,,ES,1,04,1
2,2017,03,05,00,00,0000,00,00,0000,00,00,0000,35,34,4,S,2,99,9,,38,37,4,NS,2,2015,1,ES,1,02,1
1,2017,03,05,00,00,0000,00,00,0000,00,00,0000,40,39,4,NS,2,99,9,,44,43,4,S,2,2008,1,ES,1,03,1
1,2017,03,05,17,03,2017,14,03,2017,00,00,0000,25,25,4,S,2,99,9,,30,29,4,S,2,0000,,ES,1,,1
1,2017,04,05,21,04,2017,20,04,2017,00,00,0000,26,25,1,S,1,99,9,,26,26,4,S,2,0000,,ES,1,,1
2,2017,05,05,00,00,0000,00,00,0000,00,00,0000,35,35,4,NS,2,99,9,,41,41,4,S,2,2010,1,ES,1,05,1
2,2017,05,05,00,00,0000,00,00,0000,00,00,0000,23,23,4,ND,2,99,9,,39,38,4,S,2,2016,1,ES,1,01,1
2,2017,06,05,09,06,2017,07,06,2017,00,00,0000,31,31,4,NS,2,99,9,,35,34,4,NS,2,0000,,ES,1,,1
2,2017,08,05,30,08,2017,25,08,2017,00,00,0000,38,38,4,S,2,99,9,,37,37,4,NS,2,0000,,ES,1,04,1
2,2017,08,05,01,09,2017,29,08,2017,00,00,0000,33,33,4,S,2,99,9,,38,38,4,S,2,0000,,ES,1,,1
1,2017,08,05,00,00,0000,00,00,0000,00,00,0000,37,37,4,S,2,99,9,,41,40,4,NS,2,2014,1,ES,1,03,1
1,2017,09,05,00,00,0000,00,00,0000,00,00,0000,35,35,4,NS,2,99,9,,31,31,1,NS,2,2016,1,ES,1,01,1
1,2017,09,05,09,09,2017,08,09,2017,00,00,0000,31,31,4,S,2,99,9,,30,29,1,S,1,0000,,ES,1,04,1
2,2017,09,05,28,09,2017,27,09,2017,00,00,0000,38,37,4,NS,2,99,9,,38,38,4,NS,2,0000,,ES,1,,1
2,2017,10,05,00,00,0000,00,00,0000,00,00,0000,37,36,4,S,2,99,9,,46,46,4,NS,2,2016,2,ES,1,01,1
1,2017,11,05,00,00,0000,00,00,0000,00,00,0000,31,31,4,ND,2,99,9,,31,31,4,S,2,2011,2,ES,1,06,1
2,2017,11,05,00,00,0000,00,00,0000,00,00,0000,29,29,4,NS,2,99,9,,31,31,4,NS,2,2015,2,ES,1,02,1
1,2017,10,05,26,10,2017,24,10,2017,00,00,0000,32,32,4,S,2,99,9,,34,34,4,S,2,0000,,ES,1,04,1
2,2017,08,06,08,08,2017,06,08,2017,00,00,0000,17,17,4,,2,99,9,,17,17,4,,1,0000,,ES,1,,1
2,2017,10,06,00,00,0000,00,00,0000,00,00,0000,28,28,4,S,2,99,9,,33,33,4,S,2,2016,2,ES,1,01,1
2,2017,07,06,31,07,2017,28,07,2017,00,00,0000,24,24,4,S,2,99,9,,40,39,4,NS,2,0000,,ES,2,,2
2,2017,07,06,31,07,2017,28,07,2017,00,00,0000,24,24,4,S,2,99,9,,40,39,4,NS,2,0000,,ES,2,04,2
1,2017,08,06,00,00,0000,00,00,0000,00,00,0000,21,20,1,,1,99,9,,39,38,4,S,2,2015,2,ES,1,02,1
1,2017,01,06,00,00,0000,03,01,2017,00,00,0000,41,40,4,ND,1,99,9,,32,31,4,ND,1,0000,,AU,1,04,1
2,2017,02,06,00,00,0000,21,02,2017,00,00,0000,34,33,1,ND,1,99,9,,40,39,1,ND,1,0000,,AU,1,04,1
1,2017,02,06,00,00,0000,22,02,2017,00,00,0000,33,33,4,ND,2,99,9,,38,37,4,ND,2,0000,,AU,1,04,1
